 ,Label,Area,X,Y,XM,YM,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,5_8p4_28p68:slice:1,1180,735.766,199.496,735.766,199.496,68.976,21.782,108.742,0.531,3.167,0.316,0.869
2,5_8p4_28p68:slice:1,42,260.881,285.286,260.881,285.286,8.934,5.986,40.433,0.888,1.492,0.670,0.857
3,5_8p4_28p68:slice:1,1677,177.570,353.395,177.570,353.395,82.813,25.784,122.236,0.549,3.212,0.311,0.888
4,5_8p4_28p68:slice:1,57,1115.342,367.167,1115.342,367.167,9.362,7.752,24.750,0.985,1.208,0.828,0.905
5,5_8p4_28p68:slice:1,1847,485.367,544.355,485.367,544.355,90.696,25.929,115.719,0.473,3.498,0.286,0.882
6,5_8p4_28p68:slice:1,1433,918.798,655.930,918.798,655.930,86.871,21.003,121.990,0.437,4.136,0.242,0.861
7,5_8p4_28p68:slice:1,157,1226.354,691.990,1226.354,691.990,20.245,9.874,172.457,0.834,2.050,0.488,0.935
8,5_8p4_28p68:slice:1,321,1148.861,819.435,1148.861,819.435,26.668,15.326,158.808,0.811,1.740,0.575,0.933
9,5_8p4_28p68:slice:1,207,77.147,880.176,77.147,880.176,25.584,10.302,170.425,0.716,2.483,0.403,0.910
10,5_8p4_28p68:slice:1,189,164.474,919.791,164.474,919.791,23.829,10.099,168.111,0.728,2.360,0.424,0.902
11,5_8p4_28p68:slice:1,235,259.879,924.683,259.879,924.683,45.755,6.539,159.281,0.293,6.997,0.143,0.674
12,5_8p4_28p68:slice:1,167,629.985,924.674,629.985,924.674,21.566,9.859,163.224,0.744,2.187,0.457,0.895
13,5_8p4_28p68:slice:1,1682,523.536,992.115,523.536,992.115,86.941,24.633,115.555,0.490,3.529,0.283,0.889
14,5_8p4_28p68:slice:1,171,1118.909,961.599,1118.909,961.599,21.564,10.096,162.080,0.745,2.136,0.468,0.891
15,5_8p4_28p68:slice:1,174,705.195,1121.523,705.195,1121.523,22.341,9.917,158.158,0.742,2.253,0.444,0.911
16,5_8p4_28p68:slice:1,282,121.273,1237.475,121.273,1237.475,23.799,15.087,156.833,0.433,1.577,0.634,0.699
17,5_8p4_28p68:slice:2,1207,738.501,202.785,738.501,202.785,58.835,26.121,113.387,0.635,2.252,0.444,0.908
18,5_8p4_28p68:slice:2,44,261.250,284.205,261.250,284.205,9.313,6.015,43.977,0.930,1.548,0.646,0.889
19,5_8p4_28p68:slice:2,1451,178.596,354.118,178.596,354.118,84.565,21.847,117.331,0.460,3.871,0.258,0.847
20,5_8p4_28p68:slice:2,57,1115.342,367.167,1115.342,367.167,9.362,7.752,24.750,0.985,1.208,0.828,0.905
21,5_8p4_28p68:slice:2,1813,485.872,546.604,485.872,546.604,89.198,25.879,112.947,0.503,3.447,0.290,0.888
22,5_8p4_28p68:slice:2,1171,918.412,657.175,918.412,657.175,86.961,17.145,115.064,0.362,5.072,0.197,0.818
23,5_8p4_28p68:slice:2,318,1225.340,694.434,1225.340,694.434,45.603,8.879,119.296,0.414,5.136,0.195,0.837
24,5_8p4_28p68:slice:2,511,1147.126,821.101,1147.126,821.101,62.118,10.474,118.359,0.365,5.931,0.169,0.846
25,5_8p4_28p68:slice:2,434,76.475,882.583,76.475,882.583,61.171,9.033,119.532,0.330,6.772,0.148,0.804
26,5_8p4_28p68:slice:2,391,164.198,922.191,164.198,922.191,54.893,9.069,118.154,0.361,6.053,0.165,0.805
27,5_8p4_28p68:slice:2,331,628.992,926.331,628.992,926.331,48.611,8.670,116.558,0.377,5.607,0.178,0.812
28,5_8p4_28p68:slice:2,236,259.941,924.720,259.941,924.720,45.797,6.561,159.201,0.295,6.980,0.143,0.676
29,5_8p4_28p68:slice:2,334,1118.072,963.569,1118.072,963.569,48.601,8.750,116.461,0.391,5.554,0.180,0.821
30,5_8p4_28p68:slice:2,1772,523.679,993.610,523.679,993.610,87.701,25.726,114.942,0.510,3.409,0.293,0.890
31,5_8p4_28p68:slice:2,348,705.046,1122.790,705.046,1122.790,50.023,8.858,115.165,0.377,5.647,0.177,0.819
32,5_8p4_28p68:slice:2,284,121.352,1237.500,121.352,1237.500,23.988,15.074,156.836,0.438,1.591,0.628,0.701
33,5_8p4_28p68:slice:3,1188,739.966,204.185,739.966,204.185,62.296,24.281,121.407,0.592,2.566,0.390,0.890
34,5_8p4_28p68:slice:3,44,261.909,283.909,261.909,283.909,9.644,5.809,45.000,0.930,1.660,0.602,0.889
35,5_8p4_28p68:slice:3,1732,180.797,356.355,180.797,356.355,90.392,24.396,111.551,0.450,3.705,0.270,0.858
36,5_8p4_28p68:slice:3,58,1115.379,367.103,1115.379,367.103,9.481,7.789,29.211,0.960,1.217,0.822,0.913
37,5_8p4_28p68:slice:3,1920,487.416,548.833,487.416,548.833,86.659,28.210,112.900,0.522,3.072,0.326,0.890
38,5_8p4_28p68:slice:3,1445,919.510,660.756,919.510,660.756,82.104,22.408,106.289,0.499,3.664,0.273,0.890
39,5_8p4_28p68:slice:3,205,1225.744,695.817,1225.744,695.817,26.737,9.762,82.097,0.682,2.739,0.365,0.907
40,5_8p4_28p68:slice:3,376,1147.886,821.801,1147.886,821.801,35.916,13.329,85.169,0.649,2.695,0.371,0.915
41,5_8p4_28p68:slice:3,274,78.219,884.234,78.219,884.234,34.664,10.064,80.721,0.570,3.444,0.290,0.893
42,5_8p4_28p68:slice:3,230,165.961,923.996,165.961,923.996,29.388,9.965,77.912,0.620,2.949,0.339,0.893
43,5_8p4_28p68:slice:3,233,259.886,924.680,259.886,924.680,45.779,6.480,159.197,0.291,7.064,0.142,0.674
44,5_8p4_28p68:slice:3,189,630.632,927.870,630.632,927.870,24.588,9.787,75.768,0.666,2.512,0.398,0.892
45,5_8p4_28p68:slice:3,189,1120.082,965.193,1120.082,965.193,24.179,9.952,76.131,0.705,2.429,0.412,0.915
46,5_8p4_28p68:slice:3,1673,525.820,996.843,525.820,996.843,86.728,24.561,113.231,0.481,3.531,0.283,0.880
47,5_8p4_28p68:slice:3,187,707.832,1124.334,707.832,1124.334,23.598,10.090,71.152,0.700,2.339,0.428,0.878
48,5_8p4_28p68:slice:3,285,121.226,1237.528,121.226,1237.528,23.711,15.304,158.035,0.446,1.549,0.645,0.702
49,5_8p4_28p68:slice:4,1169,738.314,204.339,738.314,204.339,60.011,24.802,119.808,0.632,2.420,0.413,0.902
50,5_8p4_28p68:slice:4,42,260.571,284.833,260.571,284.833,9.140,5.851,49.920,0.951,1.562,0.640,0.913
51,5_8p4_28p68:slice:4,1854,180.223,359.329,180.223,359.329,91.194,25.885,111.207,0.454,3.523,0.284,0.875
52,5_8p4_28p68:slice:4,58,1115.276,367.224,1115.276,367.224,9.598,7.694,27.950,0.960,1.248,0.802,0.913
